0.000000000000000000;A2;B00; Start()
0.000000000000000;A2;F00; ComputeNewConfiguration()
0.510000000000000;A2;F00; RequestInformationToAp() (request #0)
0.510000000000000;A2;F00; InportReceivingInformationFromAp()
0.510000000000000;A2;C03;  - Action (0):
0.510000000000000;A2;C03;    · channel = 0
0.510000000000000;A2;C03;    · cca = -82.000000 dBm
0.510000000000000;A2;C03;    · tx_power = 15.000000 dBm
0.510000000000000;A2;C03;    · max_bandwidth = 1
0.510000000000000;A2;C03;  - Performance:
0.510000000000000;A2;C03;    · Average throughput = 38.00 Mbps
0.510000000000000;A2;C03;    · Average delay = 0.0003 s
0.510000000000000;A2;C03;    · Maximum delay = 0.0059 s
0.510000000000000;A2;C03;    · Minimum delay = 0.0000 s
0.510000000000000;A2;C03;    · Associated reward = 0.866097
0.510000000000000;A2;F00; ComputeNewConfiguration()
0.510000000000000;A2;F00; SendNewConfigurationToAp()
0.510000000000000;A2;C03;  - Action (1):
0.510000000000000;A2;C03;    · channel = 1
0.510000000000000;A2;C03;    · cca = -82.000000 dBm
0.510000000000000;A2;C03;    · tx_power = 15.000000 dBm
0.510000000000000;A2;C03;    · max_bandwidth = 1
0.510000000000000;A2;C00;  - Next request to be sent at 1.010000
1.010000000000000;A2;F00; RequestInformationToAp() (request #1)
1.010000000000000;A2;F00; InportReceivingInformationFromAp()
1.010000000000000;A2;C03;  - Action (1):
1.010000000000000;A2;C03;    · channel = 1
1.010000000000000;A2;C03;    · cca = -82.000000 dBm
1.010000000000000;A2;C03;    · tx_power = 15.000000 dBm
1.010000000000000;A2;C03;    · max_bandwidth = 1
1.010000000000000;A2;C03;  - Performance:
1.010000000000000;A2;C03;    · Average throughput = 39.67 Mbps
1.010000000000000;A2;C03;    · Average delay = 0.0002 s
1.010000000000000;A2;C03;    · Maximum delay = 0.0058 s
1.010000000000000;A2;C03;    · Minimum delay = 0.0000 s
1.010000000000000;A2;C03;    · Associated reward = 0.904205
1.010000000000000;A2;F00; ComputeNewConfiguration()
1.010000000000000;A2;F00; SendNewConfigurationToAp()
1.010000000000000;A2;C03;  - Action (0):
1.010000000000000;A2;C03;    · channel = 0
1.010000000000000;A2;C03;    · cca = -82.000000 dBm
1.010000000000000;A2;C03;    · tx_power = 15.000000 dBm
1.010000000000000;A2;C03;    · max_bandwidth = 1
1.010000000000000;A2;C00;  - Next request to be sent at 1.510000
1.510000000000000;A2;F00; RequestInformationToAp() (request #2)
1.510000000000000;A2;F00; InportReceivingInformationFromAp()
1.510000000000000;A2;C03;  - Action (0):
1.510000000000000;A2;C03;    · channel = 0
